angDist,_RAJ2000,_DEJ2000,Loc,ID,Type,RAJ2000,DEJ2000,OGLE-IV,Other,Imag,Vmag,Per,T0,Amp,e,i,omega,Var,Mod,P16,Simbad,_RAJ2000,_DEJ2000,[M2002],RAJ2000,DEJ2000,Vmag,B-V,U-B,V-R,e_Vmag,f_[M2002]
0.193646,71.7600833,-68.9171389,LMC,OGLE-LMC-HB-0003,MS,04 47 02.42,-68 55 01.7,LMC539.08.103,OGLE-LMC-ECL-26688,15.886,15.848,4.18621755,9002.575,0.03,0.1357,41.7,168.15,,1,1,Simbad,71.76013,-68.91719,2375,04 47 02.43,-68 55 01.9,15.74,0.0,-0.67,0.34,0.05," "
2.046093,71.8275833,-70.0790556,LMC,OGLE-LMC-HB-0005,RG,04 47 18.62,-70 04 44.6,LMC530.31.2375,,14.225,15.753,494.52238579,9437.2775,0.037,0.3109,61.98,120.44,,1,0,Simbad,71.82667,-70.07858,2632,04 47 18.40,-70 04 42.9,14.94,1.46,,0.58,0.03," "
0.593762,71.8656667,-69.4856111,LMC,OGLE-LMC-HB-0007,RG,04 47 27.76,-69 29 08.2,LMC531.15.2912,,14.506,15.943,662.8315781,9164.6504,0.021,0.5191,69.81,14.44,,1,0,Simbad,71.86608,-69.48569,2798,04 47 27.86,-69 29 08.5,15.97,1.28,,0.79,0.07," "
0.106710,71.9416667,-69.2904167,LMC,OGLE-LMC-HB-0008,RG,04 47 46.00,-69 17 25.5,LMC531.24.4,,14.271,15.623,404.19629985,9264.7313,0.031,0.2117,50.54,2.64,,1,0,Simbad,71.94175,-69.29042,3107,04 47 46.02,-69 17 25.5,15.58,0.89,0.79,0.81,0.04," "
1.138918,72.688625,-70.0981389,LMC,OGLE-LMC-HB-0012,RG,04 50 45.27,-70 05 53.3,LMC530.29.19176,OGLE-LMC-ECL-01488,15.371,16.882,435.48818601,9405.3293,0.041,0.2963,54.82,18.84,ECL,0,1,Simbad,72.68946,-70.098,8730,04 50 45.47,-70 05 52.8,16.09,0.71,0.43,0.51,0.07," "
0.889711,72.8403333,-67.2211667,LMC,OGLE-LMC-HB-0015,RG,04 51 21.68,-67 13 16.2,LMC533.06.19946,,15.238,16.618,311.75154632,9257.1973,0.028,0.1908,65.99,47.29,,1,0,Simbad,72.83971,-67.22122,10449,04 51 21.53,-67 13 16.4,16.27,0.76,0.39,0.71,0.08," "
0.229059,72.9634167,-69.7205833,LMC,OGLE-LMC-HB-0016,RG,04 51 51.22,-69 43 14.1,LMC531.04.31795,,15.207,16.232,128.68966224,9086.3779,0.023,0.2003,76.84,32.68,,1,0,Simbad,72.9635,-69.72064,11861,04 51 51.24,-69 43 14.3,16.21,0.83,0.68,0.61,0.05," "
0.858483,73.0548333,-69.5508889,LMC,OGLE-LMC-HB-0019,RG,04 52 13.16,-69 33 03.2,LMC531.12.24810,,15.487,17.067,547.52193292,9326.1899,0.022,0.4471,60.1,102.19,,1,0,Simbad,73.0555,-69.55094,12966,04 52 13.32,-69 33 03.4,16.68,1.31,,0.85,0.1," "
0.435592,73.0995,-68.3651389,LMC,OGLE-LMC-HB-0020,RG,04 52 23.88,-68 21 54.5,LMC532.13.4,OGLE-LMC-ECL-01908,12.874,14.222,415.37692142,9386.909,0.263,0.0191,12.7,45.88,ECL,0,1,Simbad,73.09937,-68.36525,13496,04 52 23.85,-68 21 54.9,14.38,0.95,0.33,0.76,0.01," "
0.575799,73.7315417,-70.7573889,LMC,OGLE-LMC-HB-0026,RG,04 54 55.57,-70 45 26.6,LMC530.10.2672,,13.916,15.416,699.97540645,9470.9009,0.021,0.4068,45.47,17.27,,0,0,Simbad,73.73196,-70.75747,22599,04 54 55.67,-70 45 26.9,15.2,1.59,,0.72,0.04," "
