angDist,_RAJ2000,_DEJ2000,Loc,ID,Type,RAJ2000,DEJ2000,OGLE-IV,Other,Imag,Vmag,Per,T0,Amp,e,i,omega,Var,Mod,P16,Simbad,ra,dec,Umag,Bmag,Vmag,Imag,e_Umag,e_Bmag,e_Vmag,e_Imag,flag
0.305819,71.3315,-67.0539722,LMC,OGLE-LMC-HB-0001,RG,04 45 19.56,-67 03 14.3,LMC540.27.63,,15.905,17.291,376.4171925,9231.2364,0.03,0.3144,54.09,132.27,,1,0,Simbad,71.33155,-67.05389,19.130,18.048,16.875,15.564,0.071,0.040,0.053,0.035,10
0.572729,71.7600833,-68.9171389,LMC,OGLE-LMC-HB-0003,MS,04 47 02.42,-68 55 01.7,LMC539.08.103,OGLE-LMC-ECL-26688,15.886,15.848,4.18621755,9002.575,0.03,0.1357,41.7,168.15,,1,1,Simbad,71.76006,-68.91698,15.147,15.759,15.867,15.886,0.050,0.020,0.027,0.038,10
4.363329,71.7600833,-68.9171389,LMC,OGLE-LMC-HB-0003,MS,04 47 02.42,-68 55 01.7,LMC539.08.103,OGLE-LMC-ECL-26688,15.886,15.848,4.18621755,9002.575,0.03,0.1357,41.7,168.15,,1,1,Simbad,71.75839,-68.91609,,21.413,21.203,20.735,,0.096,0.092,0.166,0
0.480119,71.817125,-68.9735833,LMC,OGLE-LMC-HB-0004,RG,04 47 16.11,-68 58 24.9,LMC539.08.27,,15.574,17.283,243.96469965,9112.6377,0.028,0.2913,30.71,173.36,ECL,0,0,Simbad,71.81712,-68.97345,20.552,18.887,17.285,15.565,0.183,0.068,0.033,0.038,10
4.124491,71.817125,-68.9735833,LMC,OGLE-LMC-HB-0004,RG,04 47 16.11,-68 58 24.9,LMC539.08.27,,15.574,17.283,243.96469965,9112.6377,0.028,0.2913,30.71,173.36,ECL,0,0,Simbad,71.82026,-68.97381,19.564,18.235,16.938,15.304,0.113,0.063,0.035,0.476,0
4.826600,71.817125,-68.9735833,LMC,OGLE-LMC-HB-0004,RG,04 47 16.11,-68 58 24.9,LMC539.08.27,,15.574,17.283,243.96469965,9112.6377,0.028,0.2913,30.71,173.36,ECL,0,0,Simbad,71.81391,-68.97290,,22.706,22.119,21.223,,0.321,0.197,0.341,0
0.488861,71.8275833,-70.0790556,LMC,OGLE-LMC-HB-0005,RG,04 47 18.62,-70 04 44.6,LMC530.31.2375,,14.225,15.753,494.52238579,9437.2775,0.037,0.3109,61.98,120.44,,1,0,Simbad,71.82761,-70.07892,18.425,17.131,15.629,14.075,0.052,0.031,0.020,0.046,10
4.921749,71.8275833,-70.0790556,LMC,OGLE-LMC-HB-0005,RG,04 47 18.62,-70 04 44.6,LMC530.31.2375,,14.225,15.753,494.52238579,9437.2775,0.037,0.3109,61.98,120.44,,1,0,Simbad,71.82813,-70.08041,,23.279,21.738,20.511,,0.433,0.150,0.214,0
0.352413,71.851125,-70.6775278,LMC,OGLE-LMC-HB-0006,RG,04 47 24.27,-70 40 39.1,LMC530.14.7330,,15.853,17.36,202.3256852,9000.219,0.029,0.1833,51.69,92.69,TEO,1,0,Simbad,71.85114,-70.67743,20.039,18.690,17.172,15.701,0.155,0.221,0.020,0.028,0
4.649475,71.851125,-70.6775278,LMC,OGLE-LMC-HB-0006,RG,04 47 24.27,-70 40 39.1,LMC530.14.7330,,15.853,17.36,202.3256852,9000.219,0.029,0.1833,51.69,92.69,TEO,1,0,Simbad,71.85411,-70.67836,20.468,20.267,19.209,18.260,0.293,0.064,0.033,0.040,10
