sed_filter,la,width,flux,eflux
Johnson.U,3531,309.0,-12.4159,0.04
Johnson.B,4442.03,445.0,-12.3171,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-12.3685,0.04
Johnson.V,5537.05,409.0,-12.3264,0.04
GAIA.GAIA3.G,5822.34,2026.0,-12.3453,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-12.4065,0.04
Cousins.I,7885.95,475.0,-12.2897,0.04
2MASS.J,12390.2,750.0,-12.711,0.0961497686661732
Johnson.J,12500.2,1500.0,-12.5337,0.04
Johnson.H,16300.2,1000.0,-12.7545,0.04401939680237357
2MASS.H,16494.8,1200.0,-12.5852,0.0941477533865905
Johnson.K,21900.2,2700.0,-13.0568,0.09688628052265603
WISE.W1,33500.1,3300.0,-13.5569,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-13.5834,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-13.897,0.04
WISE.W2,46000.2,5200.0,-13.9479,0.08284229281118514
