RA Decl
04:45:19.56 -67:03:14.3
04:46:24.84 -72:47:57.8
04:47:02.42 -68:55:01.7
04:47:16.11 -68:58:24.9
04:47:18.62 -70:04:44.6
04:47:24.27 -70:40:39.1
04:47:27.76 -69:29:08.2
04:47:46.00 -69:17:25.5
04:49:39.18 -68:30:55.4
04:50:08.58 -70:01:04.8
04:50:16.44 -70:10:39.3
04:50:45.27 -70:05:53.3
04:50:47.35 -70:16:32.2
04:50:56.55 -69:25:36.2
04:51:21.68 -67:13:16.2
04:51:51.22 -69:43:14.1
04:51:55.92 -69:23:34.4
04:52:05.62 -66:48:36.0
04:52:13.16 -69:33:03.2
04:52:23.88 -68:21:54.5
04:52:34.35 -68:50:33.6
04:53:26.93 -66:33:57.6
04:54:02.31 -68:07:15.7
04:54:43.85 -69:04:56.8
04:54:45.50 -66:21:12.6
04:54:55.57 -70:45:26.6
04:54:58.19 -67:38:02.0
04:55:08.93 -67:35:27.0
04:55:31.17 -72:35:18.9
04:55:31.22 -69:28:05.5
04:55:44.26 -68:42:39.5
04:55:47.83 -69:28:09.0
04:55:50.19 -70:01:55.1
04:55:56.62 -66:56:12.4
04:56:36.66 -72:20:49.8
04:56:43.27 -69:34:15.7
04:56:48.72 -70:21:19.9
04:56:58.69 -66:23:22.3
04:57:00.00 -69:19:56.1
04:57:04.02 -70:57:40.6
04:57:04.70 -72:16:49.8
04:57:10.25 -70:58:22.9
04:57:17.07 -69:40:01.4
04:57:18.38 -69:19:16.6
04:57:26.09 -69:26:26.3
04:57:49.48 -70:12:15.5
04:57:51.99 -69:38:22.0
04:58:18.44 -72:53:06.7
04:58:30.60 -70:44:55.8
04:59:00.97 -69:09:44.4
04:59:44.84 -69:48:18.4
04:59:45.09 -68:21:17.1
04:59:46.64 -70:29:48.1
04:59:52.29 -69:14:19.8
05:00:22.48 -70:07:38.1
05:00:22.72 -69:20:34.9
05:00:36.25 -68:53:36.8
05:00:41.87 -67:57:49.6
05:00:53.23 -68:44:41.0
05:01:40.52 -68:38:40.7
05:01:43.68 -70:04:38.0
05:01:46.92 -67:29:16.3
05:01:50.19 -66:42:49.5
05:02:20.98 -69:39:23.1
05:02:33.12 -72:17:12.8
05:02:37.66 -69:08:41.6
05:02:52.67 -67:28:21.6
05:02:53.87 -69:56:53.4
05:02:55.48 -68:31:42.6
05:03:06.92 -70:40:39.6
05:03:10.35 -68:38:36.2
05:03:17.62 -67:03:33.2
05:03:25.55 -71:56:42.2
05:03:41.43 -69:21:04.6
05:03:53.56 -70:40:11.0
05:04:23.12 -70:22:21.9
05:04:41.81 -65:13:53.1
05:04:45.51 -69:15:08.5
05:04:46.85 -70:17:59.2
05:04:50.24 -72:01:33.5
05:04:50.65 -71:52:05.2
05:05:05.46 -70:15:27.1
05:05:09.12 -68:48:36.1
05:06:07.24 -68:05:59.7
05:06:09.64 -67:12:04.5
05:06:09.94 -68:31:52.8
05:06:10.89 -69:50:33.8
05:06:16.12 -71:05:16.7
05:06:16.88 -71:14:56.7
05:06:17.37 -69:39:33.6
05:06:32.15 -71:01:22.3
05:06:33.51 -69:57:20.6
05:06:37.31 -70:33:48.4
05:06:41.30 -69:06:04.1
05:06:45.95 -68:34:09.0
05:06:57.99 -68:18:24.6
05:06:59.04 -68:03:13.1
05:07:22.74 -71:43:13.4
05:07:25.69 -71:21:53.0
05:07:38.02 -68:07:20.6
05:07:42.66 -71:32:27.9
05:07:48.74 -69:03:31.3
05:07:57.22 -67:01:51.5
05:08:01.61 -68:15:03.4
05:08:06.00 -69:32:04.5
05:08:06.51 -70:01:02.2
05:08:07.08 -71:10:50.6
05:08:15.91 -69:14:30.7
05:08:17.79 -68:39:43.0
05:08:18.59 -70:37:40.0
05:08:46.27 -69:20:27.5
05:09:21.72 -68:29:24.0
05:09:45.05 -68:33:50.8
05:09:48.93 -68:52:46.8
05:09:53.42 -69:34:36.4
05:10:09.13 -69:00:19.9
05:10:26.62 -70:24:39.4
05:10:26.90 -69:04:39.6
05:10:28.56 -67:14:12.8
05:10:37.37 -69:03:13.1
05:10:46.88 -69:51:51.0
05:10:47.57 -70:10:46.6
05:10:48.90 -67:55:14.5
05:11:00.96 -69:14:25.0
05:11:15.65 -69:28:09.8
05:11:25.41 -68:41:47.1
05:11:33.19 -71:33:09.8
05:11:34.76 -69:03:58.1
05:11:37.46 -68:48:46.2
05:11:50.21 -71:31:15.6
05:12:00.13 -69:08:38.2
05:12:02.27 -67:14:56.8
05:12:12.75 -69:34:46.9
05:12:14.34 -69:31:54.4
05:12:18.35 -69:17:04.3
05:12:26.34 -68:46:07.5
05:12:29.48 -69:22:08.7
05:12:45.69 -70:57:11.9
05:12:47.39 -72:19:16.6
05:12:51.56 -69:10:23.0
05:12:56.01 -68:25:00.4
05:12:59.53 -70:42:45.1
05:13:06.52 -69:38:56.5
05:13:24.59 -70:56:17.9
05:13:32.18 -68:41:48.3
05:13:33.00 -68:56:19.7
05:13:42.49 -68:57:06.2
05:13:44.31 -71:39:29.7
05:13:47.62 -69:30:49.5
05:13:52.90 -69:47:27.0
05:14:04.85 -69:06:44.2
05:14:41.04 -70:16:43.8
05:14:42.20 -71:12:12.2
05:14:44.32 -69:07:33.4
05:14:49.91 -68:58:58.0
05:14:50.39 -68:45:18.5
05:14:50.62 -69:05:08.6
05:14:51.70 -69:35:22.3
05:15:04.69 -69:30:40.3
05:15:05.91 -69:21:07.8
05:15:33.10 -69:03:22.2
05:15:58.25 -69:19:30.3
05:16:13.36 -69:43:04.8
05:16:17.98 -67:13:45.5
05:16:22.30 -69:02:37.0
05:16:25.23 -67:53:01.8
05:16:25.41 -69:28:55.2
05:16:26.75 -67:38:55.1
05:16:28.67 -69:31:25.8
05:16:28.67 -68:59:27.9
05:16:37.78 -69:30:39.5
05:16:51.00 -69:10:47.4
05:16:52.92 -69:00:50.4
05:17:00.94 -69:57:47.7
05:17:11.89 -68:10:17.8
05:17:15.36 -69:26:01.9
05:17:16.42 -70:37:34.4
05:17:18.58 -70:33:24.1
05:17:18.82 -70:37:08.5
05:17:24.62 -67:01:49.0
05:17:30.16 -69:31:03.6
05:17:38.08 -69:48:48.4
05:17:39.85 -69:10:57.6
05:17:43.36 -70:30:26.1
05:17:44.82 -69:37:39.6
05:17:45.07 -69:43:16.7
05:17:46.33 -69:29:09.2
05:18:10.17 -70:21:11.9
05:18:14.67 -70:37:51.4
05:18:15.62 -70:07:16.7
05:18:18.74 -69:07:51.2
05:18:19.06 -70:17:42.6
05:18:34.47 -69:45:33.0
05:18:39.70 -69:32:35.6
05:18:49.01 -69:38:19.3
05:18:51.09 -70:02:42.2
05:18:52.05 -69:29:51.1
05:18:55.86 -69:26:17.7
05:19:03.69 -69:39:16.6
05:19:04.48 -69:19:05.4
05:19:14.04 -69:51:17.2
05:19:14.72 -69:52:37.0
05:19:19.74 -69:39:56.3
05:19:26.38 -70:19:12.0
05:19:27.36 -69:14:35.9
05:19:37.74 -70:01:25.0
05:19:38.32 -69:39:04.7
05:19:42.50 -68:15:47.6
05:20:03.15 -69:22:56.3
05:20:13.39 -69:22:53.2
05:20:14.61 -70:40:48.8
05:20:36.07 -70:00:46.4
05:20:40.74 -70:49:42.8
05:20:42.24 -69:57:02.3
05:20:43.72 -69:21:29.8
05:20:47.82 -69:12:01.3
05:20:49.54 -69:22:12.3
05:20:58.01 -70:22:17.5
05:21:04.06 -70:38:49.8
05:21:18.34 -69:15:38.6
05:21:21.36 -69:43:44.5
05:21:31.21 -69:21:54.4
05:21:36.96 -69:37:31.6
05:21:53.51 -69:30:55.8
05:22:00.08 -69:35:10.3
05:22:13.10 -69:51:00.3
05:22:13.34 -69:03:30.0
05:22:53.07 -70:11:13.2
05:22:55.17 -70:38:46.5
05:23:01.75 -67:58:27.3
05:23:05.99 -69:16:49.5
05:23:07.88 -70:34:26.7
05:23:15.68 -69:23:07.6
05:23:17.14 -67:36:26.3
05:23:19.47 -70:33:38.0
05:23:29.53 -69:23:30.8
05:23:47.66 -69:53:48.4
05:24:01.89 -69:49:20.6
05:24:01.91 -69:13:52.1
05:24:28.95 -70:59:58.5
05:24:32.81 -70:09:21.1
05:24:35.64 -69:51:50.4
05:24:36.92 -70:33:15.1
05:24:38.26 -70:00:28.7
05:24:50.90 -68:52:11.5
05:25:06.65 -68:48:23.3
05:25:08.03 -69:24:34.1
05:25:15.04 -69:57:25.8
05:25:21.86 -69:05:25.6
05:25:41.96 -69:48:47.4
05:25:50.39 -69:08:42.8
05:25:58.39 -70:03:42.3
05:26:18.26 -69:11:44.1
05:26:24.45 -68:47:05.0
05:26:25.67 -71:41:45.8
05:26:28.44 -66:37:54.0
05:26:34.23 -71:36:37.6
05:26:49.26 -69:49:22.4
05:26:50.41 -69:49:22.3
05:26:53.48 -69:03:20.7
05:26:56.83 -69:54:40.7
05:26:59.38 -70:41:25.7
05:27:14.53 -69:01:59.7
05:27:16.09 -69:46:24.2
05:27:22.00 -68:56:13.3
05:27:29.73 -70:44:15.6
05:27:33.91 -70:09:19.5
05:27:40.55 -69:05:59.2
05:27:40.63 -70:25:07.5
05:27:41.79 -69:15:57.2
05:27:45.23 -70:35:15.2
05:28:12.28 -69:34:18.0
05:28:19.06 -69:07:50.7
05:28:22.83 -70:32:36.2
05:28:30.75 -70:10:43.2
05:28:47.62 -69:34:03.9
05:28:48.25 -70:09:03.6
05:28:48.51 -69:22:06.0
05:28:48.76 -69:44:51.9
05:28:49.98 -70:12:11.1
05:29:13.46 -67:00:08.7
05:29:15.25 -70:05:49.1
05:29:22.57 -68:44:20.8
