ID,Type,RA,Decl,I,V,V_I,P,T0,A,Ecc,Incl,Peri,Model,loc,sed_dist,sed_av,sed_radius,sed_teff,sed_logg,sed_feh,sed_irslope,sed_chi2oN,Av_median,Av_minus_two_sigma,Av_plus_two_sigma,sed_L
OGLE-LMC-HB-0001,RG,04:45:19.56,-67:03:14.3,15.905,17.291,1.386,376.42,9231.2,0.03,0.314,54.1,132.3,1,LMC,49970.00094029506,0.3667499999884667,45.731716593803945,4541.337461816935,2.2395999999999994,-0.7,0.0028056472958186474,2.2566413537575483,0.15075,0.0,0.36675,807.586205120792
OGLE-LMC-HB-0002,RG,04:46:24.84,-72:47:57.8,16.52,17.9,1.38,207.35,9015.7,0.039,0.314,79.7,24.3,1,LMC,49970.0000960038,0.1755000028061857,36.812634022043106,4232.656583907241,2.348099999996636,-0.7,-0.020942402288516133,0.6497539821994354,0.31500000000000006,0.17550000000000004,0.4275,394.8796064597778
OGLE-LMC-HB-0003,MS,04:47:02.42,-68:55:01.7,15.886,15.848,-0.038,4.186218,9002.575,0.03,0.136,41.7,168.2,1,LMC,49970.000119746226,0.19925422766761136,7.540689340731924,17219.50935293911,0.01872997920890991,-0.7,0.04218388481375537,0.70604788332495,0.3735,0.12150000000000001,0.6435000000000001,4538.621580696546
OGLE-LMC-HB-0004,RG,04:47:16.11,-68:58:24.9,15.574,17.283,1.709,243.965,9112.6,0.028,0.291,30.7,173.4,0,LMC,49970.000058856655,0.6862499999989443,60.29249400681979,4169.420775247227,2.0287999999999817,-0.7,0.0008686333514886361,4.469456521479399,0.38475000000000004,0.12375000000000001,0.6862500000000001,997.3513659389721
OGLE-LMC-HB-0005,RG,04:47:18.62,-70:04:44.6,14.225,15.753,1.528,494.52,9437.3,0.037,0.3109,62.0,120.4,1,LMC,49969.99964766722,0.49065015473832974,114.49596868495422,4180.700678601098,1.4054136158434587,-0.7,0.01807844774038441,1.7944341668531147,0.37125,0.18225,0.51525,3635.7622497186835
OGLE-LMC-HB-0006,RG,04:47:24.27,-70:40:39.1,15.853,17.36,1.507,202.326,9000.2,0.029,0.183,51.7,92.7,1,LMC,49969.99999576502,0.7079814349206416,49.95789297104734,4450.1454365190975,2.0000120948828153,-0.7,0.00481854674798744,1.7338222824919587,0.43425,0.18675,0.70875,888.6358489465254
OGLE-LMC-HB-0007,RG,04:47:27.76,-69:29:08.2,14.506,15.943,1.437,662.83,9164.7,0.021,0.519,70.0,14.4,1,LMC,49970.00009487712,0.18000000001633995,87.01014193896553,4180.228890322068,0.7437193814051126,-0.7,-0.0008717906978393645,1.166770606534761,0.40049999999999997,0.17999999999999997,0.7199999999999999,2098.7407194230705
OGLE-LMC-HB-0008,RG,04:47:46.00,-69:17:25.5,14.271,15.623,1.352,404.2,9264.7,0.031,0.212,50.5,2.6,1,LMC,49970.00058286532,0.7649999999046545,88.2124074590053,4706.531808606828,1.846599999999965,-0.7,0.007030067559537043,1.8002239045605901,0.423,0.1395,0.7649999999999999,3466.4275459252844
OGLE-LMC-HB-0009,RG,04:49:39.18,-68:30:55.4,15.161,16.968,1.807,592.56,9482.8,0.061,0.4466,59.9,79.2,1,LMC,49970.00096345798,0.8009999999885281,80.52612982418357,4075.02326707785,1.839899989906975,-0.7,-0.00016985211917370968,1.476828644915661,0.33749999999999997,0.0,0.8009999999999999,1623.3524085367992
OGLE-LMC-HB-0010,RG,04:50:08.58,-70:01:04.8,15.094,16.287,1.193,177.161,9062.8,0.023,0.407,36.65,65.8,1,LMC,49969.9999808589,0.14188326287261746,58.002402708259076,4514.838495584931,2.000008644600985,-0.7,-0.013484750910959615,1.6114979637962694,0.31725,0.0022499999999999395,0.60075,1269.0526224391358
OGLE-LMC-HB-0011,RG,04:50:16.44,-70:10:39.3,15.591,17.2,1.609,438.74,9331.0,0.025,0.282,89.8,122.3,1,LMC,49969.999986478404,0.47845663907102676,62.56255512874799,4141.599193643209,2.0000555389856416,-0.7,-0.004350708700883835,2.0504130558446025,0.30375,0.05175000000000002,0.47925000000000006,1045.4903040853774
OGLE-LMC-HB-0012,RG,04:50:45.27,-70:05:53.3,15.371,16.882,1.511,435.49,9405.3,0.041,0.296,54.8,18.8,0,LMC,49970.00008671631,0.5399999901105518,60.589782315151226,4366.309904974806,2.046499998713541,-0.7,0.005985667014023264,1.8482207507645618,0.28800000000000003,0.013500000000000012,0.54,1211.367165188044
OGLE-LMC-HB-0013,RG,04:50:47.35,-70:16:32.2,15.999,17.499,1.5,324.538,9182.4,0.048,0.452,76.3,59.6,1,LMC,49970.00082674612,0.410540881178317,44.29435700625321,4250.000183006578,2.2502999996536897,-0.7,0.0009810781761672898,1.2385270261263754,0.33975,0.16424999999999998,0.59175,581.1274406645291
OGLE-LMC-HB-0014,RG,04:50:56.55,-69:25:36.2,14.497,15.726,1.229,359.11,9253.1,0.041,0.26,39.03,161.7,1,LMC,49970.00099362187,0.548999999995688,70.4348892007938,4989.77208097334,2.0129999999999995,-0.7,0.008223727276139854,6.289010821189547,0.3105,0.03600000000000003,0.5489999999999999,2792.0120681430076
