ID,Type,RA,Decl,I,V,V_I,P,T0,A,Ecc,Incl,Peri,Model,loc,sed_dist,sed_av,sed_av_err,sed_radius,sed_radius_err,sed_teff,sed_teff_err,sed_logg,sed_logg_err,sed_feh,sed_irslope,sed_chi2oN,Av_median,Av_minus_two_sigma,Av_plus_two_sigma,sed_L
OGLE-LMC-HB-0001,RG,04:45:19.56,-67:03:14.3,15.905,17.291,1.386,376.42,9231.2,0.03,0.314,54.1,132.3,1,LMC,49970.0,0.36674999998850144,0.3847301848273736,45.73152353206197,1.5501548573535637,4541.341599802494,286.1860236171877,2.2395999999999994,1.1363581473194226,-0.7,0.00280660420807463,2.257264232452246,0.15075,0.0,0.36675,807.5823299093117
OGLE-LMC-HB-0002,RG,04:46:24.84,-72:47:57.8,16.52,17.9,1.38,207.35,9015.7,0.039,0.314,79.7,24.3,1,LMC,49970.0,0.17550000000105753,0.5649654567495045,36.812868265447456,1.1786808184326527,4232.64939700168,288.8881078781514,2.3480999999999987,1.4197349956969476,-0.7,-0.020940569139494363,0.6495961872919248,0.31500000000000006,0.17550000000000004,0.4275,394.88194981726724
OGLE-LMC-HB-0003,MS,04:47:02.42,-68:55:01.7,15.886,15.848,-0.038,4.186218,9002.575,0.03,0.136,41.7,168.2,1,LMC,49970.0,0.16539179555183023,0.16998858145499718,7.755311690560294,0.3860640443016547,16399.54863791046,1760.3217152268917,0.8866931087825926,0.0,-0.7,0.04141109596046913,0.7145798727683986,0.3735,0.12150000000000001,0.6435000000000001,3949.525113665456
OGLE-LMC-HB-0004,RG,04:47:16.11,-68:58:24.9,15.574,17.283,1.709,243.965,9112.6,0.028,0.291,30.7,173.4,0,LMC,49970.0,0.68625,0.4005235364129843,60.29285070656492,1.6094352299420533,4169.413331502102,207.82901435883844,2.0287999999999995,1.2931977681672415,-0.7,0.000872583487013917,4.46923858547231,0.38475000000000004,0.12375000000000001,0.6862500000000001,997.3560445189818
OGLE-LMC-HB-0005,RG,04:47:18.62,-70:04:44.6,14.225,15.753,1.528,494.52,9437.3,0.037,0.3109,62.0,120.4,1,LMC,49970.0,0.5150983535853654,0.351048395807199,114.30937536589748,3.207297759376288,4194.302307603875,188.80965419272954,1.500002535875867,0.7731594037355082,-0.7,0.017826322026597237,1.7168970732992341,0.37125,0.18225,0.51525,3671.312943808661
OGLE-LMC-HB-0006,RG,04:47:24.27,-70:40:39.1,15.853,17.36,1.507,202.326,9000.2,0.029,0.183,51.7,92.7,1,LMC,49970.0,0.7079796860784463,0.38995513685864613,49.95814129882773,1.5463562657151886,4450.13413787633,246.709188472579,1.9999978557772573,0.7860786004387194,-0.7,0.00481331527177488,1.7336625916136472,0.43425,0.18675,0.70875,888.6356585067905
OGLE-LMC-HB-0007,RG,04:47:27.76,-69:29:08.2,14.506,15.943,1.437,662.83,9164.7,0.021,0.519,70.0,14.4,1,LMC,49970.0,0.7199999999999998,0.3322024094211513,83.54295472958725,2.6833514410977153,4523.892279149986,253.52574646907914,1.8612999999999997,0.7195111684135894,-0.7,-0.0053439548214850065,5.056870970584081,0.40049999999999997,0.17999999999999997,0.7199999999999999,2653.9178036831863
OGLE-LMC-HB-0008,RG,04:47:46.00,-69:17:25.5,14.271,15.623,1.352,404.2,9264.7,0.031,0.212,50.5,2.6,1,LMC,49970.0,0.7649999999999998,0.4020364896644605,85.20855845299718,3.085417648913645,4805.208268320354,346.0301769626385,1.8740999999999999,0.9059133511946958,-0.7,0.008940735950041528,2.729173648828063,0.423,0.1395,0.7649999999999999,3514.2615725147575
OGLE-LMC-HB-0009,RG,04:49:39.18,-68:30:55.4,15.161,16.968,1.807,592.56,9482.8,0.061,0.4466,59.9,79.2,1,LMC,49970.0,0.8009999999999998,0.5589757606684285,80.5261141219187,2.4924199330477,4075.0074045688248,287.29771371890206,1.8397999999999977,1.0531448054609416,-0.7,-0.00017970444815431486,1.4773037177254285,0.33749999999999997,0.0,0.8009999999999999,1623.326499236797
OGLE-LMC-HB-0010,RG,04:50:08.58,-70:01:04.8,15.094,16.287,1.193,177.161,9062.8,0.023,0.407,36.65,65.8,1,LMC,49970.0,0.6007499999997603,0.4117179602745783,55.05488033232915,1.9809149146734288,4931.049534396654,350.74157373363045,2.165199999999943,1.2844510487076934,-0.7,-0.03559347664386156,1.9469702663110158,0.31725,0.0022499999999999395,0.60075,1626.9263445007518
