# Date:     2023-05-07 18:47:20
# Database: ocvs
# Target:   all_hb
# Query:    P>=0 
# Objects:  991
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model
OGLE-BLG-HB-0001	RG	17:26:26.55	-29:03:18.8	14.886	18.094	3.208	180.68400000	9075.5000	0.030	0.1481	55.90	107.40	1
OGLE-BLG-HB-0002	RG	17:27:56.60	-29:15:34.4	14.360	17.020	2.660	180.34400000	9075.1000	0.021	0.1800	89.30	30.90	1
OGLE-BLG-HB-0003	RG	17:28:12.74	-28:41:03.4	14.941	18.648	3.707	312.42700000	9031.3400	0.049	0.3382	56.11	163.80	1
OGLE-BLG-HB-0004	RG	17:28:51.34	-29:42:16.7	14.532	18.750	4.218	185.13900000	9172.1900	0.072	0.1739	89.80	75.73	1
OGLE-BLG-HB-0005	RG	17:29:34.27	-28:01:24.7	14.241	17.265	3.024	286.50000000	9074.7000	0.019	0.1684	71.70	111.70	1
OGLE-BLG-HB-0006	RG	17:29:35.97	-28:40:21.7	13.870	17.134	3.264	333.36000000	9094.6000	0.041	0.2202	62.70	50.80	1
OGLE-BLG-HB-0007	RG	17:29:47.08	-29:56:42.5	14.871	18.189	3.318	160.41500000	9029.0000	0.044	0.1299	53.30	40.90	1
OGLE-BLG-HB-0008	RG	17:30:04.43	-27:31:36.5	14.547	18.290	3.743	363.72300000	9281.6000	0.040	0.2838	64.30	131.10	1
OGLE-BLG-HB-0009	RG	17:31:32.66	-30:52:41.5	14.574	18.443	3.869	201.87800000	9107.1500	0.075	0.1104	80.70	24.90	1
OGLE-BLG-HB-0010	RG	17:31:36.80	-27:23:17.7	14.642	18.451	3.809	287.41000000	9195.0300	0.140	0.2921	90.00	90.18	0
OGLE-BLG-HB-0011	RG	17:33:54.59	-29:30:31.2	15.062	18.738	3.676	354.45300000	9035.8100	0.059	0.3608	89.70	100.30	1
OGLE-BLG-HB-0012	RG	17:34:03.33	-26:33:08.7	13.833	16.903	3.070	446.14100000	9155.0000	0.046	0.4107	62.11	28.64	1
OGLE-BLG-HB-0013	RG	17:34:35.44	-27:16:23.0	14.293	17.882	3.589	424.49800000	9114.2200	0.135	0.3245	70.07	84.73	0
OGLE-BLG-HB-0014	RG	17:34:36.69	-28:13:06.8	15.129	19.387	4.258	268.20700000	9198.4100	0.066	0.1402	81.40	107.70	1
OGLE-BLG-HB-0015	RG	17:35:14.20	-26:56:10.3	15.180	18.295	3.115	177.84900000	9153.4600	0.024	0.1588	89.90	17.80	1
OGLE-BLG-HB-0016	RG	17:35:17.07	-33:41:36.5	16.299	20.509	4.210	58.26800000	9025.6600	0.164	0.0794	89.50	118.00	1
OGLE-BLG-HB-0017	RG	17:35:42.18	-27:24:54.7	14.503	17.692	3.189	227.02500000	9227.0200	0.028	0.1169	69.40	169.40	1
OGLE-BLG-HB-0018	RG	17:35:49.96	-27:14:57.1	14.243	18.634	4.391	220.01540000	9192.0600	0.074	0.0464	89.93	78.98	0
OGLE-BLG-HB-0019	RG	17:36:52.28	-34:24:39.8	15.751	20.659	4.908	227.78000000	9069.5000	0.057	0.2581	88.50	9.40	1
OGLE-BLG-HB-0020	RG	17:37:29.36	-27:00:23.1	15.033	18.150	3.117	166.73000000	9058.3000	0.030	0.1145	63.10	137.00	1
OGLE-BLG-HB-0021	RG	17:38:06.98	-22:38:27.4	14.072	17.391	3.319	229.81000000	9118.3000	0.049	0.1281	89.90	110.40	1
OGLE-BLG-HB-0022	RG	17:38:35.12	-27:33:38.4	15.791	19.464	3.673	143.80700000	9036.4900	0.029	0.2712	88.90	35.30	1
OGLE-BLG-HB-0023	RG	17:39:15.93	-25:37:58.5	15.035	18.728	3.693	190.74900000	9161.8500	0.052	0.1472	89.90	84.30	1
OGLE-BLG-HB-0024	RG	17:39:53.96	-27:28:00.8	15.128	18.984	3.856	212.45900000	9145.5700	0.052	0.3403	73.70	111.20	0
OGLE-BLG-HB-0025	RG	17:40:47.93	-24:20:21.3	13.710	17.111	3.401	287.49000000	9129.6000	0.040	0.1569	65.60	110.80	1
OGLE-BLG-HB-0026	RG	17:41:02.75	-33:57:56.9	13.646	17.349	3.703	403.71000000	9343.2000	0.029	0.4300	88.30	40.90	1
