wave flux error band
5027.14 6.053945884567657e-16 1.8958027775015236e-17 SKYMAPPER
6100.76 7.331599816257856e-16 2.7010613194476385e-18 SKYMAPPER
7747.23 7.172177190567512e-16 3.963491622447073e-18 SKYMAPPER
9115.16 5.975659656826998e-16 3.8526502759709746e-18 SKYMAPPER
3641.75 9.32511501242278e-17 6.0980115119813735e-18 JOHNSON
4448.06 3.818650666753425e-16 1.4068428646535246e-17 JOHNSON
5504.67 6.526269280391986e-16 3.1857855182546154e-17 JOHNSON
4702.5 4.753260740024548e-16 7.486234696000751e-17 APASS
6175.58 8.171319289367216e-16 8.171319289367215e-17 APASS
7489.98 8.820366557496648e-16 1.5922760910798526e-16 APASS
33791.9 2.695779142416338e-17 5.958970484436269e-19 WISE
46293.0 7.306628067251402e-18 1.817006396843571e-19 WISE
6710.93 5.986377580279392e-16 2.756828755477019e-17 GAIA3E
5437.48 5.384046110911511e-16 2.4794448629954828e-17 GAIA3E
7979.59 6.63555307677314e-16 3.055785119669722e-17 GAIA3E
6710.93 5.979838805740635e-16 5.507635077042282e-19 GAIA2
5437.48 5.321958237755535e-16 3.2351250898012877e-18 GAIA2
7979.59 6.729486424639536e-16 1.983387535984742e-18 GAIA2
12412.1 4.2976130471540444e-16 1.385386769194956e-17 2MASS
16497.1 3.2653487948609095e-16 1.172924003721967e-17 2MASS
21909.2 1.3455908524703862e-16 7.188142649712173e-18 2MASS
